descreveExamePK,dataPK,hospitalPK,idadePK,quantidadeExames
1,20100101,1,119,2
2,20100102,2,118,8
3,20100103,3,117,6
4,20100104,4,116,3
5,20100105,5,115,10
6,20100106,6,114,6
7,20100107,7,113,4
8,20100108,8,112,2
9,20100109,9,110,6
10,20100110,10,109,10
11,20100111,11,108,10
12,20100112,12,107,3
13,20100113,13,107,8
14,20100114,14,106,1
15,20100115,15,105,10
16,20100116,16,104,4
17,20100117,17,103,10
18,20100118,18,102,6
19,20100119,19,101,7
20,20100120,20,100,7
21,20100121,21,98,1
22,20100122,22,97,9
23,20100123,23,96,2
24,20100124,24,95,1
25,20100125,25,95,7
26,20100126,26,94,7
27,20100127,27,93,7
28,20100128,28,92,9
29,20100129,29,91,8
30,20100130,30,90,4
31,20100131,31,89,9
32,20100201,32,88,2
33,20100202,33,86,8
34,20100203,34,85,9
35,20100204,35,84,4
36,20100205,36,83,7
37,20100206,37,83,5
38,20100207,38,82,5
39,20100208,39,81,9
40,20100209,40,80,10
41,20100210,41,79,7
42,20100211,42,78,4
43,20100212,43,77,4
44,20100213,44,76,7
45,20100214,45,74,1
46,20100215,46,73,10
47,20100216,47,72,6
48,20100217,48,71,5
49,20100218,49,71,2
50,20100219,50,70,4
51,20100220,51,69,6
52,20100221,52,68,8
53,20100222,53,67,10
54,20100223,54,66,3
55,20100224,55,65,2
56,20100225,56,64,5
57,20100226,57,62,1
58,20100227,58,61,9
59,20100228,59,60,3
60,20100301,60,59,1
61,20100302,61,59,2
62,20100303,62,58,5
63,20100304,63,57,6
64,20100305,64,56,10
65,20100306,65,55,3
66,20100307,66,54,7
67,20100308,67,53,6
68,20100309,68,52,7
69,20100310,69,50,3
70,20100311,70,49,1
71,20100312,71,48,2
72,20100313,72,47,3
73,20100314,73,47,4
74,20100315,74,46,4
75,20100316,75,45,2
76,20100317,76,44,8
77,20100318,77,43,5
78,20100319,78,42,5
79,20100320,79,41,9
80,20100321,80,40,9
81,20100322,81,38,8
82,20100323,82,37,4
83,20100324,83,36,1
84,20100325,84,35,5
85,20100326,85,35,10
86,20100327,86,34,7
87,20100328,87,33,7
88,20100329,88,32,3
89,20100330,89,31,9
90,20100331,90,30,1
91,20100401,91,29,8
92,20100402,92,27,7
93,20100403,93,26,5
94,20100404,94,25,5
95,20100405,95,24,2
96,20100406,96,23,7
97,20100407,97,23,6
98,20100408,98,22,9
99,20100409,99,21,3
100,20100410,100,20,2
101,20100411,101,19,3
102,20100412,102,18,2
103,20100413,103,17,10
104,20100414,104,16,10
105,20100415,105,14,2
106,20100416,106,13,2
107,20100417,107,12,9
108,20100418,108,11,6
109,20100419,109,11,7
110,20100420,110,10,1
111,20100421,111,9,1
112,20100422,112,8,3
113,20100423,113,7,3
114,20100424,114,6,4
115,20100425,115,5,1
116,20100426,116,4,9
117,20100427,117,2,3
118,20100428,118,1,1
119,20100429,119,0,3
120,20100430,120,0,8
121,20100501,121,120,1
122,20100502,122,119,4
123,20100503,123,118,8
124,20100504,124,117,3
125,20100505,125,116,7
126,20100506,126,115,8
127,20100507,127,114,7
128,20100508,128,113,10
129,20100509,129,111,2
130,20100510,130,110,4
131,20100511,131,109,1
132,20100512,132,108,8
133,20100513,133,108,4
134,20100514,134,107,1
135,20100515,135,106,8
136,20100516,136,105,7
137,20100517,137,104,3
138,20100518,138,103,2
139,20100519,139,102,2
140,20100520,140,101,6
141,20100521,141,99,1
142,20100522,142,98,6
143,20100523,143,97,10
144,20100524,144,96,2
145,20100525,145,96,3
146,20100526,146,95,7
147,20100527,147,94,6
148,20100528,148,93,3
149,20100529,149,92,10
150,20100530,150,91,6
151,20100531,151,90,5
152,20100601,152,88,4
153,20100602,153,87,5
154,20100603,154,86,8
155,20100604,155,85,10
156,20100605,156,84,4
157,20100606,157,84,3
158,20100607,158,83,4
159,20100608,159,82,1
160,20100609,160,81,7
161,20100610,161,80,8
162,20100611,162,79,5
163,20100612,163,78,2
164,20100613,164,77,4
165,20100614,165,75,4
166,20100615,166,74,7
167,20100616,167,73,10
168,20100617,168,72,6
169,20100618,169,72,7
170,20100619,170,71,1
171,20100620,171,70,6
172,20100621,172,69,6
173,20100622,173,68,8
174,20100623,174,67,6
175,20100624,175,66,2
176,20100625,176,65,4
177,20100626,177,63,1
178,20100627,178,62,3
179,20100628,179,61,10
180,20100629,180,60,8
181,20100630,181,60,10
182,20100701,182,59,3
183,20100702,183,58,5
184,20100703,184,57,2
185,20100704,185,56,1
186,20100705,186,55,7
187,20100706,187,54,9
188,20100707,188,53,9
189,20100708,189,51,1
190,20100709,190,50,8
191,20100710,191,49,5
192,20100711,192,48,4
193,20100712,193,48,2
194,20100713,194,47,7
195,20100714,195,46,7
196,20100715,196,45,7
197,20100716,197,44,8
198,20100717,198,43,6
199,20100718,199,42,5
200,20100719,200,41,2
201,20100720,201,39,4
202,20100721,202,38,6
203,20100722,203,37,1
204,20100723,204,36,5
